"","Ortho","Phono","Length","LogFreq","meanRT","accuracy"
"316","acquiescence","akwiEsns",12,4.51,1059.52380952381,0.7
"317","acquiescent","akwiEsnt",11,2.94,1148.26315789474,0.633333333333333
"318","acquire","@kw!r",7,8.78,629.48275862069,0.966666666666667
"319","acquired","@kw!rd",8,8.76,569.461538461538,1
"320","acquires","@kw!rz",8,6.13,823.586206896552,1
"321","acquiring","@kw!rIN",9,7.58,690.931034482759,1
"322","acquisition","akw@zISn",11,8.52,836.6,0.925925925925926
"323","acquisitions","akw@zISnz",12,7,944,0.96551724137931
"324","acquisitive","@kwIz@tIv",11,3.69,992.5,0.689655172413793
"325","acquisitiveness","@kwIz@tIvn@s",15,1.39,1202.64705882353,0.548387096774194
"326","acquit","@kwIt",6,4.61,763.225806451613,1
"327","acquittal","@kwItL",9,5.52,920.12,0.833333333333333
"328","acquitted","@kwIt@d",9,6.41,643.740740740741,0.931034482758621
"329","acre","ek#",4,7.35,855.464285714286,0.96551724137931
"330","acreage","ek#IJ",7,5.44,930.666666666667,0.535714285714286
"331","acres","ek#z",5,8.28,742.645161290323,1
"332","acrid","akrId",5,4.71,797.166666666667,0.8
"333","acrimonious","akr@moni@s",11,4.73,1012.73684210526,0.655172413793103
"334","acrimony","akr@moni",8,4.49,1073.8,0.666666666666667
"335","acrobat","akr@bat",7,7.8,661.285714285714,1
"336","acrobatic","akr@batIk",9,5.12,793.592592592593,0.931034482758621
"337","acrobatics","akr@batIks",10,5.99,765.48,0.892857142857143
"338","acrobats","akr@bats",8,4.19,686.413793103448,1
"339","acronym","akr@nIm",7,7.58,799.423076923077,0.896551724137931
"340","Acropolis","@krAp@lIs",9,4.69,1180.42857142857,0.67741935483871
"341","across","@krOs",6,11.04,594.965517241379,1
"342","acrylic","@krIlIk",7,6.74,895.870967741935,1
"343","act","akt",3,11.19,626.931034482759,0.966666666666667
"344","acted","akt@d",5,8.5,691.384615384615,0.928571428571429
"345","acting","aktIN",6,9.68,601.758620689655,1
"346","action","akSn",6,11.26,576.107142857143,0.96551724137931
"347","actions","akSnz",7,10.3,626.357142857143,1
"348","activate","akt@vet",8,8.16,689.965517241379,1
"349","activated","akt@vet@d",9,8.09,671.862068965517,0.966666666666667
"350","activating","akt@vetIN",10,6.48,677.6,1
"351","activation","akt@veSn",10,7.56,737.233333333333,1
"352","active","aktIv",6,10.48,599.037037037037,0.964285714285714
"353","actively","aktIvli",8,8.87,684.137931034483,0.966666666666667
"354","activism","akt@vIzm",8,7.35,680.357142857143,0.933333333333333
"355","activist","akt@vIst",8,8.17,639.454545454545,0.970588235294118
"356","activities","aktIv@tiz",10,10.4,668.333333333333,0.964285714285714
"357","activity","aktIv@ti",8,10.18,632.857142857143,1
"358","actor","akt#",5,9.26,565.241379310345,1
"359","actors","akt#z",6,8.89,629.161290322581,1
"360","actress","aktr@s",7,8.52,630.965517241379,0.966666666666667
"361","actresses","aktr@s@z",9,7.42,727.730769230769,0.928571428571429
"362","acts","akts",4,9.87,600.222222222222,0.931034482758621
"363","actual","akCu@l",6,10.62,545.344827586207,1
"364","actualities","akCual@tiz",11,3.64,804.608695652174,0.766666666666667
"365","actuality","akCual@ti",9,6.86,710.423076923077,0.896551724137931
"366","actually","akCu@li",8,12.19,639.033333333333,1
"367","actuary","akCuEri",7,3.89,960.461538461538,0.896551724137931
"368","acuity","@kju@ti",6,5.43,927.684210526316,0.655172413793103
"369","acupuncture","akj@pVNkC#",11,6.26,834.033333333333,0.967741935483871
"370","acute","@kjut",5,7.79,766.75,0.96551724137931
"371","acutely","@kjutli",7,5.81,755.928571428571,1
"372","acuteness","@kjutn@s",9,2.94,971.107142857143,0.933333333333333
"373","ad","ad",2,10.67,589.724137931035,1
"374","Ada","et@",3,9.64,792.714285714286,0.7
"375","adage","at@J",5,6.22,709.294117647059,0.566666666666667
"376","Adam","at@m",4,9.88,688.379310344828,0.966666666666667
"377","adamant","at@m@nt",7,6.44,768.962962962963,0.931034482758621
"378","adamantly","at@m@ntli",9,5.8,974.291666666667,0.827586206896552
"379","adapt","@dapt",5,8.13,615.137931034483,0.966666666666667
"380","adaptability","@dapt@bIl@ti",12,5.43,770.96,0.862068965517241
"381","adaptable","@dapt@bL",9,6.69,701.592592592593,0.9
"382","adaptation","adapteSn",10,7.6,836.269230769231,0.896551724137931
"383","adaptations","adapteSnz",11,6.23,697.038461538462,0.896551724137931
"384","adapted","@dapt@d",7,8.04,678.692307692308,0.928571428571429
"385","adapter","@dapt#",7,9.62,593.571428571429,1
"386","adapters","@dapt#z",8,8.44,659.655172413793,0.966666666666667
"387","adapting","@daptIN",8,6.59,754.428571428571,0.96551724137931
"388","add","ad",3,11.64,586.620689655172,1
"389","added","at@d",5,11.04,641.5,1
"390","addendum","@dEnt@m",8,7.2,902.105263157895,0.678571428571429
"391","adder","at#",5,5.86,676,0.933333333333333
"392","addict","atIkt",6,7.54,671.321428571429,0.933333333333333
"393","addicted","@dIkt@d",8,7.75,626.307692307692,0.962962962962963
"394","addiction","@dIkSn",9,8.14,749.322580645161,1
"395","addicts","atIkts",7,7.55,670.12,0.862068965517241
"396","adding","atIN",6,10.09,620.068965517241,1
"397","addition","@dISn",8,10.76,745.193548387097,1
"398","additional","@dISn@l",10,10.93,729.413793103448,1
"399","additionally","@dISn@li",12,8.8,709.75,1
"400","additions","@dISnz",9,9.13,694.9,1
"401","additive","at@tIv",8,6.81,771.346153846154,0.896551724137931
"402","additives","at@tIvz",9,7.14,930.851851851852,0.9
"403","addle","atL",5,1.95,745.166666666667,0.774193548387097
"404","address","adrEs",7,12.31,570.814814814815,1
"405","addressed","@drEst",9,9.4,643.111111111111,0.964285714285714
"406","addressee","adrEsi",9,5.44,754.037037037037,0.9
"407","addressees","adrEsiz",10,4.61,713.846153846154,0.448275862068966
"408","addresses","adrEs@z",9,10.47,692.413793103448,1
"409","addressing","@drEsIN",10,8.87,630.258064516129,1
"410","adds","adz",4,9.38,615.766666666667,1
"411","adduce","@dus",6,4.47,710.2,0.714285714285714
"412","Adele","@dEl",5,5.36,846.421052631579,0.633333333333333
"413","adept","@dEpt",5,7.47,650.827586206897,0.966666666666667
"414","adequacy","at@kw@si",8,6.01,821.310344827586,0.966666666666667
"415","adequate","at@kw@t",8,9.01,723.423076923077,0.928571428571429
"416","adequately","at@kw@tli",10,7.96,768.444444444444,0.964285714285714
"417","adhere","@dhIr",6,7.57,615.107142857143,0.96551724137931
"418","adhered","@dhIrd",7,5.96,763.142857142857,0.903225806451613
"419","adherence","@dhIr@ns",9,6.81,691.357142857143,1
"420","adherent","@dhIr@nt",8,4.96,738.107142857143,0.903225806451613
"421","adherents","@dhIr@nts",9,6.54,791.620689655172,0.935483870967742
"422","adheres","@dhIrz",7,5.57,650.965517241379,1
